Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #
31,14.99,160,90,2009,0
32,12.99,999,59,2009,0
33,39.99,1103,76,2021,12
34,24.99,312,78,2017,0
35,19.99,188,76,2020,0
36,8.99,325,93,2016,0
37,29.99,534,89,2019,17
38,9.99,745,83,2012,11
39,14.99,163,68,2020,0
40,16.99,306,77,2023,306
41,19.99,527,68,2016,0
42,16.99,39,92,2022,0
1,14.99,38358,89,2018,285
2,19.99,1569,84,2023,88
3,19.99,51756,95,2018,986
4,19.99,10756,95,2019,262
5,19.99,13175,93,2019,391
6,8.99,637,94,2018,0
7,29.99,281,75,2022,55
8,16.99,2714,76,2017,14
9,0,790,82,2022,44
10,17.99,2022,96,2019,25
11,14.99,4062,93,2019,42
12,34.99,254,54,2021,0
13,4.99,725,98,2024,10
14,4.99,230,92,2023,230
15,13.99,0,84,2024,0
16,10.99,345,92,2017,0
17,4.99,651,96,2022,16
18,9.99,559,93,2021,0
19,19.99,49,87,2017,0
20,14.99,147,100,2022,0
21,14.99,254,93,2020,0
22,4.99,2463,87,2012,0
23,13.99,1,100,2023,1
24,19.99,143,95,2020,0
25,9.99,1247,83,2007,72
26,21.99,47,70,2023,47
27,19.99,165,92,2020,0
28,1.99,378,94,2018,0
29,11.99,71,90,2021,0
30,9.99,94,70,2021,0
31,7.99,56,91,2023,0
32,4.99,114,81,2022,0
33,5.99,20,100,2024,20
34,9.99,286,61,2016,0
35,1.99,306,93,2019,0
36,2.49,46,95,2021,0
37,5.99,2017,97,2021,15
38,1.99,243,86,2016,0
39,2.99,96,79,2016,0
1,39.99,92498,94,2020,2323
3,24.99,141,79,2024,141
4,19.99,17111,88,2020,268
5,9.99,6,83,2024,6
6,14.99,16009,95,2013,136
7,19.99,9723,83,2020,163
8,29.99,5056,88,2021,82
9,14.99,38833,92,2013,94
10,5.99,155,78,2024,53
11,19.99,3100,89,2021,28
12,2.99,214,51,2024,18
13,34.99,70,58,2024,22
14,9.99,246,82,2022,0
15,12.99,5936,91,2019,33
16,19.99,77,49,2023,77
17,9.99,203,95,2023,10
18,14.99,26864,95,2011,71
19,14.99,125,74,2022,0
20,29.99,1591,86,2020,19
21,9.99,3,0,2023,3
22,6.99,123,90,2023,123
23,29.99,299,74,2023,299
24,29.99,395,89,2023,395
25,14.99,3500,91,2016,0
26,19.99,1368,79,2016,0
27,19.99,430,94,2020,0
28,29.99,1870,80,2022,57
29,24.99,388,84,2022,0
30,14.99,10,100,2024,10
31,18.99,2067,92,2020,13
32,19.99,50,88,2022,0
33,19.99,767,43,2021,0
34,6.99,151,71,2023,151
35,9.99,61,93,2022,0
36,7.99,12,83,2024,12
37,6.99,83,74,2023,83
38,6.99,685,87,2013,0
39,14.99,993,89,2016,0
40,13.99,0,84,2024,0
1,9.99,51324,90,2022,4010
3,14.99,11914,94,2021,323
4,29.99,4706,93,2017,28
5,17.99,10993,91,2022,289
6,12.99,10733,85,2019,289
7,5.99,11350,94,2022,126
8,9.99,6431,80,2018,171
9,16.99,221,93,2023,16
10,19.99,687,86,2022,0
11,19.99,491,87,2022,27
12,19.99,2070,90,2012,15
13,5.99,746,92,2023,37
14,8.99,13494,98,2021,228
15,4.99,4588,98,2023,94
16,19.99,1019,89,2021,19
17,3.99,5886,97,2016,57
18,4.99,5367,98,2020,56
19,19.99,82,97,2022,0
20,14.99,276,67,2023,21
21,80.96,3274,89,2002,23
22,80.96,1409,87,2004,11
23,19.99,2510,84,2016,14
24,15.99,97,93,2024,24
25,7.99,282,86,2022,0
26,0,9093,97,2018,98
27,29.99,3282,97,2020,36
28,9.99,462,93,2023,17
29,24.99,1030,96,2021,13
30,10.99,105,80,2023,10
31,4.99,1994,86,2020,19
32,9.99,961,87,2021,16
33,19.99,453,95,2023,453
34,19.99,2629,78,2012,17
35,0,4194,86,2022,110
36,12.99,54,59,2022,0
37,7.99,297,55,2002,0
38,4.99,28,82,2023,28
39,1.99,46,95,2024,46
40,14.99,19,100,2024,12
41,9.99,362,88,2021,0
42,7.99,317,81,2014,0
43,19.99,2384,89,2013,10
44,8.99,10,100,2024,10
45,9.99,291,92,2010,0
46,9.99,179,69,2008,0
47,19.99,1425,76,2014,11
1,69.99,3171,87,2023,232
2,0,17605,89,2018,251
3,9.99,835,77,2023,44
4,19.99,277,98,2023,16
5,7.99,60,96,2024,60
6,1.99,878,88,2017,57
7,9.99,17,94,2024,17
9,19.99,11071,82,2016,179
10,19.99,1992,81,2022,0
11,1.99,161,99,2024,161
12,9.99,204,92,2023,204
13,5.99,158,77,2024,39
14,2.99,9128,81,2021,48
15,2.99,8663,91,2019,74
16,4.99,14,85,2024,14
17,5.99,929,95,2015,14
18,6.99,824,90,2013,0
19,14.99,1592,93,2013,0
20,4.99,342,81,2021,0
21,2.99,86,87,2020,0
22,9.99,2151,80,2021,0
